Affirmations,Category
Cette pensée passera,Disgust
Ce n est qu une pensée,Disgust
Cette idée n a aucun pouvoir sur moi,Disgust
Je suis plus fort que cette pensée,Disgust
"Ma vie est plus grande que cette idée, Je n ai pas peur de cette pensée",Disgust
je respire le calme; J expire le stress,Disgust
je suis une bonne personne,Disgust
je fais de bonnes choses,Disgust
Je ne donne aucune énergie à ça,Disgust
Je mérite d être heureux,Disgust
C est un petit problème; je peux le faire,Disgust
je chercherai de l aide si j en ai besoin,Disgust
je ne suis pas seul,Disgust
"C est un problème commun; d autres personnes le gèrent, donc je peux aussi",Disgust
Cette idée s envole alors que je respire,Disgust
j aime mon esprit,Disgust
J observe cette pensée et la regarde passer,Disgust
Ces idées passent ; Je reste,Disgust
je suis calme,Disgust
Cette pensée n a aucun pouvoir sur moi,Disgust
Je laisserai cette pensée tranquille; ça va mourir,Disgust
Je ne donne aucune énergie à cette idée,Disgust
Ces idées vont et viennent; ils mourront tout seuls,Disgust
Je ne choisis pas cette pensée,Disgust
Je choisis de penser à la joie,Disgust
Je suis séparé de ces pensées,Disgust
Ces pensées ne sont pas moi,Disgust
Ces pensées n ont aucun sens,Disgust
Ces idées n ont rien à voir avec moi,Disgust
Je suis plus que ces pensées,Disgust
Ces pensées ne sont pas moi,Disgust
Je laisse patiemment cette pensée s estomper,Disgust
"Je regarde calmement, et cette pensée s estompe",Disgust
Je pense que beaucoup de bonnes pensées,Disgust
Je suis reconnaissant pour beaucoup de choses,Disgust
Je suis reconnaissant pour les bonnes choses dans ma vie,Disgust
Ces pensées ne peuvent blesser personne,Disgust
Ces pensées ne peuvent pas me blesser,Disgust
Je remarque cette pensée et passe à autre chose,Disgust
Je reste calme et paisible,Disgust
Je respire lentement et calmement,Disgust
je vais bien,Disgust
Je n ai pas besoin de m inquiéter à ce sujet,Disgust
je suis une personne positive,Disgust
Je respire profondément et passe à autre chose,Disgust
Je suis plus que mes pensées,Disgust
je choisis la patience,Disgust
je choisis la tranquillité,Disgust
je suis entier et en bonne santé,Disgust
Ceci aussi devrait passer,Disgust
je choisis le bonheur,Disgust
je choisis l amour,Disgust
je suis une personne aimante,Disgust
je suis une personne pacifique,Disgust
je ne fais pas de mal,Disgust
je fais du bien dans le monde,Disgust
Ces pensées aléatoires n ont aucun pouvoir,Disgust
"Des pensées surgissent dans mon esprit, puis ressortent à nouveau : elles n ont pas d importance",Disgust
Je ne fais pas attention à ces idées,Disgust
Je suis trop intelligent pour être trompé par ces pensées,Disgust
J affronte mes peurs et elles s estompent,Disgust
Je suis plus fort que je ne le sais,Disgust
Je suis content d être au monde,Disgust
Je rends le monde meilleur,Disgust
je suis digne,Disgust
je suis précieux,Disgust
je compte,Disgust
je me chéris,Disgust
Mes amis et ma famille sont là pour moi,Disgust
je peux demander de l aide,Disgust
Je peux gérer ce défi,Disgust
Je persiste et triomphe,Disgust
je choisis la bonté,Disgust
je peux faire des choses difficiles,Disgust
Ces idées ne me dérangeront pas toujours,Disgust
Ce problème est temporaire,Disgust
je fais des progrès,Disgust
je suis fière de moi,Disgust
Je suis assez intelligent à ce sujet,Disgust
Je ne suis pas aspiré par des pensées indésirables,Disgust
je ne suis pas débordé,Disgust
Je suis plein d énergie et d espoir,Disgust
Je sais que les choses iront bien pour moi,Disgust
Je le fais bien,Disgust
Le calme est une compétence que je peux maîtriser,Disgust
je me vois réussir,Disgust
Ces pensées ne sont pas mes pensées,Disgust
J ai réussi et je réussirai,Disgust
je suis en paix avec moi-même,Disgust
je suis maître de mes actes,Disgust
J ai appris à gérer ce problème,Disgust
Ces pensées ne me dérangent pas,Disgust
Je sais qui je suis,Disgust
Je suis plus paisible chaque jour,Disgust
Je suis assez créatif pour résoudre n importe quel problème,Disgust
Je reçois de l aide quand je ne sais pas quoi faire,Disgust
Je me fais confiance pour gérer ça,Disgust
J ai déjà géré des problèmes pires,Disgust
Je me concentre sur ce moment dans le temps,Disgust
Ma vie va de mieux en mieux,Disgust
j ai un bel avenir,Disgust
Je suis étonnamment fort,Disgust
je me vois en paix,Disgust
"Je vise le progrès, pas la perfection",Disgust
Ma vie est riche en bonté,Disgust
Je suis content d être en vie,Disgust
J ai des choses plus importantes à faire que de m inquiéter à ce sujet,Disgust
Je suis sage et je compte mes bénédictions,Disgust
je suis un survivant,Disgust
je n abandonne jamais,Disgust
Je crois en mon propre courage,Disgust
"Je continue d essayer, donc je continue de m améliorer",Disgust
Certaines pensées sont trop idiotes pour y prêter attention,Disgust
Je me détends et respire profondément,Disgust
Ces pensées ne sont certainement pas les miennes,Disgust
Tout le monde a parfois des pensées obsessionnelles ; ce n est pas important,Disgust
